CardId,Name,EnergyType,ImageUrl,HP,Ability,AbilityDescription,Regulation,Expansion
47311,ヒビキのマグマラシ,炎,/assets/images/card_images/large/SV9a/047311_P_HIBIKINOMAGUMARASHI.jpg,100,たびのきずな,自分の番に1回使える。自分の山札から「ヒビキの冒険」を1枚選び、相手に見せて、手札に加える。そして山札を切る。,,SV9a
47312,ヒビキのバクフーン,炎,/assets/images/card_images/large/SV9a/047312_P_HIBIKINOBAKUFUN.jpg,170,,,,SV9a
47313,ヒビキのマグマッグ,炎,/assets/images/card_images/large/SV9a/047313_P_HIBIKINOMAGUMAGGU.jpg,80,,,,SV9a
47314,ヒビキのマグカルゴ,炎,/assets/images/card_images/large/SV9a/047314_P_HIBIKINOMAGUKARUGO.jpg,130,とけてながれる,このポケモンにエネルギーがついていないなら、このポケモンのにげるためのエネルギーは、すべてなくなる。,,SV9a
47315,ヒビキのホウオウex,炎,/assets/images/card_images/large/SV9a/047315_P_HIBIKINOHOUOUEX.jpg,230,こんじきのほのお,自分の番に1回使える。自分の手札から「基本エネルギー」を2枚まで選び、ベンチの「ヒビキのポケモン」1匹につける。,,SV9a
47316,オーガポン かまどのめん,炎,/assets/images/card_images/large/SV9a/047316_P_OGAPONKAMADONOMEN.jpg,110,,,,SV9a
47317,カスミのコダック,水,/assets/images/card_images/large/SV9a/047317_P_KASUMINOKODAKKU.jpg,70,どたばたジャンプ,このポケモンがベンチにいるなら、自分の番に1回使える。自分の山札を下から1枚トラッシュする。その後、このポケモンについているカードをすべてトラッシュし、このポケモンを山札の上にもどす。,,SV9a
47318,カスミのヒトデマン,水,/assets/images/card_images/large/SV9a/047318_P_KASUMINOHITODEMAN.jpg,70,,,,SV9a
47319,カスミのスターミー,水,/assets/images/card_images/large/SV9a/047319_P_KASUMINOSUTAMI.jpg,100,,,,SV9a
47320,カスミのコイキング,水,/assets/images/card_images/large/SV9a/047320_P_KASUMINOKOIKINGU.jpg,30,すごいもぐる,このポケモンは、ベンチにいるかぎり、相手のポケモンからワザのダメージや効果を受けない。,,SV9a
47321,カスミのギャラドス,水,/assets/images/card_images/large/SV9a/047321_P_KASUMINOGIXYARADOSU.jpg,180,,,,SV9a
47322,カスミのラプラス,水,/assets/images/card_images/large/SV9a/047322_P_KASUMINORAPURASU.jpg,110,,,,SV9a
47323,シロナのヒンバス,水,/assets/images/card_images/large/SV9a/047323_P_SHIRONANOHINBASU.jpg,30,,,,SV9a
47324,シロナのミロカロス,水,/assets/images/card_images/large/SV9a/047324_P_SHIRONANOMIROKAROSU.jpg,130,,,,SV9a
47325,ブイゼル,水,/assets/images/card_images/large/SV9a/047325_P_BUIZERU.jpg,70,,,,SV9a
47326,フローゼル,水,/assets/images/card_images/large/SV9a/047326_P_FUROZERU.jpg,120,,,,SV9a
47327,ヘイラッシャex,水,/assets/images/card_images/large/SV9a/047327_P_HEIRASSHIXYAEX.jpg,260,,,,SV9a
47328,オーガポン いどのめん,水,/assets/images/card_images/large/SV9a/047328_P_OGAPONIDONOMEN.jpg,110,,,,SV9a
47329,エレブー,雷,/assets/images/card_images/large/SV9a/047329_P_EREBU.jpg,90,,,,SV9a
47330,エレキブルex,雷,/assets/images/card_images/large/SV9a/047330_P_EREKIBURUEX.jpg,280,,,,SV9a
47331,ヒビキのピチュー,雷,/assets/images/card_images/large/SV9a/047331_P_HIBIKINOPICHIXYU.jpg,30,,,,SV9a
47332,ラクライ,雷,/assets/images/card_images/large/SV9a/047332_P_RAKURAI.jpg,60,,,,SV9a
47333,ライボルト,雷,/assets/images/card_images/large/SV9a/047333_P_RAIBORUTO.jpg,120,,,,SV9a
47334,ロトム,雷,/assets/images/card_images/large/SV9a/047334_P_ROTOMU.jpg,60,,,,SV9a
47335,ゼラオラ,雷,/assets/images/card_images/large/SV9a/047335_P_ZERAORA.jpg,100,,,,SV9a
47336,ヒビキのウソッキー,闘,/assets/images/card_images/large/SV9a/047336_P_HIBIKINOUSOKKI.jpg,110,,,,SV9a
47337,シロナのフカマル,闘,/assets/images/card_images/large/SV9a/047337_P_SHIRONANOFUKAMARU.jpg,70,,,,SV9a
47338,シロナのガバイト,闘,/assets/images/card_images/large/SV9a/047338_P_SHIRONANOGABAITO.jpg,100,おうじゃのよびごえ,自分の番に1回使える。自分の山札から「シロナのポケモン」を1枚選び、相手に見せて、手札に加える。そして山札を切る。,,SV9a
47339,シロナのガブリアスex,闘,/assets/images/card_images/large/SV9a/047339_P_SHIRONANOGABURIASUEX.jpg,330,,,,SV9a
47340,ドロバンコ,闘,/assets/images/card_images/large/SV9a/047340_P_DOROBANKO.jpg,90,,,,SV9a
47341,バンバドロ,闘,/assets/images/card_images/large/SV9a/047341_P_BANBADORO.jpg,150,マッドコート,このポケモンが受けるワザのダメージは「-30」される。,,SV9a
47342,ペパーのノノクラゲ,闘,/assets/images/card_images/large/SV9a/047342_P_PEPANONONOKURAGE.jpg,70,,,,SV9a
47343,ペパーのリククラゲ,闘,/assets/images/card_images/large/SV9a/047343_P_PEPANORIKUKURAGE.jpg,140,,,,SV9a
47344,オーガポン いしずえのめん,闘,/assets/images/card_images/large/SV9a/047344_P_OGAPONISHIZUENOMEN.jpg,110,,,,SV9a
47345,シロナのミカルゲ,悪,/assets/images/card_images/large/SV9a/047345_P_SHIRONANOMIKARUGE.jpg,70,,,,SV9a
47346,ペパーのオラチフ,悪,/assets/images/card_images/large/SV9a/047346_P_PEPANOORACHIFU.jpg,70,,,,SV9a
47347,ペパーのマフィティフex,悪,/assets/images/card_images/large/SV9a/047347_P_PEPANOMAFUITEIFUEX.jpg,270,,,,SV9a
47348,ケンタロス,無,/assets/images/card_images/large/SV9a/047348_P_KENTAROSU.jpg,130,,,,SV9a
47349,ペパーのホシガリス,無,/assets/images/card_images/large/SV9a/047349_P_PEPANOHOSHIGARISU.jpg,60,,,,SV9a
47350,ペパーのヨクバリス,無,/assets/images/card_images/large/SV9a/047350_P_PEPANOYOKUBARISU.jpg,120,よくばりオーダー,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分のトラッシュから「ペパーのサンドウィッチ」を2枚まで選び、相手に見せて、手札に加える。,,SV9a
47272,ダイゴのヤジロン,超,/assets/images/card_images/large/SVOD/047272_P_DAIGONOYAJIRON.jpg,60,,,,SVOD
47273,ダイゴのネンドール,超,/assets/images/card_images/large/SVOD/047273_P_DAIGONONENDORU.jpg,120,,,,SVOD
47274,ダイゴのメレシー,超,/assets/images/card_images/large/SVOD/047274_P_DAIGONOMERESHI.jpg,80,ストーンパレス,このポケモンがベンチにいるかぎり、自分の「ダイゴのポケモン」全員が、相手のポケモンから受けるワザのダメージは「-30」される。この効果は、この特性を持つポケモンが何匹いても、重ならない。,,SVOD
47275,ダイゴのエアームド,鋼,/assets/images/card_images/large/SVOD/047275_P_DAIGONOEAMUDO.jpg,120,,,,SVOD
47276,ダイゴのダンバル,鋼,/assets/images/card_images/large/SVOD/047276_P_DAIGONODANBARU.jpg,70,,,,SVOD
47277,ダイゴのメタング,鋼,/assets/images/card_images/large/SVOD/047277_P_DAIGONOMETANGU.jpg,100,,,,SVOD
47278,ダイゴのメタグロスex,鋼,/assets/images/card_images/large/SVOD/047278_P_DAIGONOMETAGUROSUEX.jpg,340,エクスブート,自分の番に1回使える。自分の山札から「基本エネルギー」と「基本エネルギー」をそれぞれ1枚まで選び、自分のまたはポケモンに好きなようにつける。そして山札を切る。,,SVOD
47291,ダイゴのダンバル,鋼,/assets/images/card_images/large/SVOD/047291_P_DAIGONODANBARU.jpg,70,,,,SVOD
47253,マリィのチョロネコ,悪,/assets/images/card_images/large/SVOM/047253_P_MARIINOCHIXYORONEKO.jpg,60,,,,SVOM
47254,マリィのレパルダス,悪,/assets/images/card_images/large/SVOM/047254_P_MARIINOREPARUDASU.jpg,100,,,,SVOM
47255,マリィのズルッグ,悪,/assets/images/card_images/large/SVOM/047255_P_MARIINOZURUGGU.jpg,70,,,,SVOM
47256,マリィのズルズキン,悪,/assets/images/card_images/large/SVOM/047256_P_MARIINOZURUZUKIN.jpg,120,,,,SVOM
47257,マリィのベロバー,悪,/assets/images/card_images/large/SVOM/047257_P_MARIINOBEROBA.jpg,70,,,,SVOM
47258,マリィのギモー,悪,/assets/images/card_images/large/SVOM/047258_P_MARIINOGIMO.jpg,100,,,,SVOM
47259,マリィのオーロンゲex,悪,/assets/images/card_images/large/SVOM/047259_P_MARIINOORONGEEX.jpg,320,パンクアップ,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分の山札から「基本エネルギー」を5枚まで選び、自分の「マリィのポケモン」に好きなようにつける。そして山札を切る。,,SVOM
47260,マリィのモルペコ,悪,/assets/images/card_images/large/SVOM/047260_P_MARIINOMORUPEKO.jpg,70,,,,SVOM
47290,マリィのモルペコ,悪,/assets/images/card_images/large/SVOM/047290_P_MARIINOMORUPEKO.jpg,70,,,,SVOM
47009,キャタピー,草,/assets/images/card_images/large/SV9/047009_P_KIXYATAPI.jpg,50,,,,SV9
47010,トランセル,草,/assets/images/card_images/large/SV9/047010_P_TORANSERU.jpg,90,,,,SV9
47011,バタフリー,草,/assets/images/card_images/large/SV9/047011_P_BATAFURI.jpg,120,,,,SV9
47012,パラス,草,/assets/images/card_images/large/SV9/047012_P_PARASU.jpg,70,,,,SV9
47013,パラセクト,草,/assets/images/card_images/large/SV9/047013_P_PARASEKUTO.jpg,120,,,,SV9
47014,マラカッチ,草,/assets/images/card_images/large/SV9/047014_P_MARAKATCHI.jpg,110,さくれつばり,このポケモンが、バトル場で相手のポケモンからワザのダメージを受けてきぜつしたとき、ワザを使ったポケモンにダメカンを6個のせる。,,SV9
47015,カブルモ,草,/assets/images/card_images/large/SV9/047015_P_KABURUMO.jpg,60,,,,SV9
47016,チョボマキ,草,/assets/images/card_images/large/SV9/047016_P_CHIXYOBOMAKI.jpg,70,,,,SV9
47017,アギルダー,草,/assets/images/card_images/large/SV9/047017_P_AGIRUDA.jpg,100,,,,SV9
47018,ニャオハ,草,/assets/images/card_images/large/SV9/047018_P_NIXYAOHA.jpg,60,,,,SV9
47019,ニャローテ,草,/assets/images/card_images/large/SV9/047019_P_NIXYAROTE.jpg,90,,,,SV9
47020,マスカーニャ,草,/assets/images/card_images/large/SV9/047020_P_MASUKANIXYA.jpg,160,ショータイム,このポケモンがベンチにいるなら、自分の番に1回使える。このポケモンをバトルポケモンと入れ替える。,,SV9
47021,ブーバー,炎,/assets/images/card_images/large/SV9/047021_P_BUBA.jpg,80,,,,SV9
47022,ブーバーン,炎,/assets/images/card_images/large/SV9/047022_P_BUBAN.jpg,130,マグマのはどう,このポケモンがいるかぎり、相手のやけどのポケモンは、やけどでのせるダメカンの数が3個多くなる。,,SV9
47023,Nのダルマッカ,炎,/assets/images/card_images/large/SV9/047023_P_NNODARUMAKKA.jpg,80,,,,SV9
47024,Nのヒヒダルマ,炎,/assets/images/card_images/large/SV9/047024_P_NNOHIHIDARUMA.jpg,140,,,,SV9
47025,ボルケニオンex,炎,/assets/images/card_images/large/SV9/047025_P_BORUKENIONEX.jpg,220,やけつくじょうき,このポケモンがバトル場にいるなら、自分の番に1回使える。相手のバトルポケモンをやけどにする。,,SV9
47026,フリーザー,水,/assets/images/card_images/large/SV9/047026_P_FURIZA.jpg,110,,,,SV9
47027,テッポウオ,水,/assets/images/card_images/large/SV9/047027_P_TEPPOUO.jpg,60,,,,SV9
47028,オクタン,水,/assets/images/card_images/large/SV9/047028_P_OKUTAN.jpg,110,,,,SV9
47029,ハスボー,水,/assets/images/card_images/large/SV9/047029_P_HASUBO.jpg,60,,,,SV9
47030,ハスブレロ,水,/assets/images/card_images/large/SV9/047030_P_HASUBURERO.jpg,90,,,,SV9
47031,ルンパッパ,水,/assets/images/card_images/large/SV9/047031_P_RUNPAPPA.jpg,140,バイタルサンバ,このポケモンがいるかぎり、自分の場のポケモン全員の最大HPは、それぞれ「＋40」される。この効果は、この特性を持つポケモンが何匹いても、重ならない。,,SV9
47032,ホエルコ,水,/assets/images/card_images/large/SV9/047032_P_HOERUKO.jpg,130,,,,SV9
47033,ホエルオー,水,/assets/images/card_images/large/SV9/047033_P_HOERUO.jpg,240,,,,SV9
47034,ナンジャモのビリリダマ,雷,/assets/images/card_images/large/SV9/047034_P_NANJIXYAMONOBIRIRIDAMA.jpg,70,,,,SV9
47035,ナンジャモのマルマイン,雷,/assets/images/card_images/large/SV9/047035_P_NANJIXYAMONOMARUMAIN.jpg,100,,,,SV9
47036,Nのバチュル,雷,/assets/images/card_images/large/SV9/047036_P_NNOBACHIXYURU.jpg,40,,,,SV9
47037,ナンジャモのズピカ,雷,/assets/images/card_images/large/SV9/047037_P_NANJIXYAMONOZUPIKA.jpg,60,,,,SV9
47038,ナンジャモのハラバリーex,雷,/assets/images/card_images/large/SV9/047038_P_NANJIXYAMONOHARABARIEX.jpg,280,エレキストリーマー,自分の番に何回でも使える。自分の手札から「基本エネルギー」を1枚選び、自分の「ナンジャモのポケモン」につける。,,SV9
47039,ナンジャモのカイデン,雷,/assets/images/card_images/large/SV9/047039_P_NANJIXYAMONOKAIDEN.jpg,60,,,,SV9
47040,ナンジャモのタイカイデン,雷,/assets/images/card_images/large/SV9/047040_P_NANJIXYAMONOTAIKAIDEN.jpg,120,フラッシュドロー,自分の番に、このポケモンについている「基本エネルギー」を1個トラッシュするなら、1回使える。自分の手札が6枚になるように、山札を引く。,,SV9
47041,リーリエのピッピex,超,/assets/images/card_images/large/SV9/047041_P_RIRIENOPIPPIEX.jpg,190,フェアリーゾーン,このポケモンがいるかぎり、相手の場のポケモン全員の弱点は、すべてタイプになる。［弱点は「×2」で計算する。］,,SV9
47042,バリヤード,超,/assets/images/card_images/large/SV9/047042_P_BARIYADO.jpg,90,,,,SV9
47043,カゲボウズ,超,/assets/images/card_images/large/SV9/047043_P_KAGEBOUZU.jpg,60,,,,SV9
47044,ジュペッタ,超,/assets/images/card_images/large/SV9/047044_P_JIXYUPETTA.jpg,90,,,,SV9
47045,ダンバル,超,/assets/images/card_images/large/SV9/047045_P_DANBARU.jpg,60,,,,SV9
47046,メタング,超,/assets/images/card_images/large/SV9/047046_P_METANGU.jpg,100,,,,SV9
47047,メタグロス,超,/assets/images/card_images/large/SV9/047047_P_METAGUROSU.jpg,170,,,,SV9
47048,Nのシンボラー,超,/assets/images/card_images/large/SV9/047048_P_NNOSHINBORA.jpg,110,,,,SV9
47049,リーリエのアブリー,超,/assets/images/card_images/large/SV9/047049_P_RIRIENOABURI.jpg,30,,,,SV9
47050,リーリエのアブリボン,超,/assets/images/card_images/large/SV9/047050_P_RIRIENOABURIBON.jpg,70,おさそいウインク,自分の番に、このカードを手札から出して進化させたとき、1回使える。相手の手札を見て、その中からたねポケモンを好きなだけ選び、相手のベンチに出す。,,SV9
47051,リーリエのキュワワー,超,/assets/images/card_images/large/SV9/047051_P_RIRIENOKIXYUWAWA.jpg,70,,,,SV9
47052,ウリムー,闘,/assets/images/card_images/large/SV9/047052_P_URIMU.jpg,70,,,,SV9
47053,イノムー,闘,/assets/images/card_images/large/SV9/047053_P_INOMU.jpg,100,,,,SV9
47054,マンムーex,闘,/assets/images/card_images/large/SV9/047054_P_MANMUEX.jpg,340,マンモスキャリー,自分の番に1回使える。自分の山札からポケモンを1枚選び、相手に見せて、手札に加える。そして山札を切る。,,SV9
47055,ヨーギラス,闘,/assets/images/card_images/large/SV9/047055_P_YOGIRASU.jpg,70,,,,SV9
47056,サナギラス,闘,/assets/images/card_images/large/SV9/047056_P_SANAGIRASU.jpg,90,,,,SV9
47057,レジロック,闘,/assets/images/card_images/large/SV9/047057_P_REJIROKKU.jpg,130,がんせきアーマー,このポケモンにエネルギーがついているなら、このポケモンが受けるワザのダメージは「-30」される。,,SV9
47058,ヤンチャム,闘,/assets/images/card_images/large/SV9/047058_P_YANCHIXYAMU.jpg,60,,,,SV9
47059,イワンコ,闘,/assets/images/card_images/large/SV9/047059_P_IWANKO.jpg,70,,,,SV9
47060,ルガルガン,闘,/assets/images/card_images/large/SV9/047060_P_RUGARUGAN.jpg,120,とげをまとう,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分のトラッシュから「スパイクエネルギー」を2枚まで選び、このポケモンにつける。,,SV9
47061,ホップのスナヘビ,闘,/assets/images/card_images/large/SV9/047061_P_HOPPUNOSUNAHEBI.jpg,80,,,,SV9
47062,ホップのサダイジャ,闘,/assets/images/card_images/large/SV9/047062_P_HOPPUNOSADAIJIXYA.jpg,140,,,,SV9
47063,ガケガニ,闘,/assets/images/card_images/large/SV9/047063_P_GAKEGANI.jpg,120,,,,SV9
47064,ドガース,悪,/assets/images/card_images/large/SV9/047064_P_DOGASU.jpg,60,,,,SV9
47065,マタドガス,悪,/assets/images/card_images/large/SV9/047065_P_MATADOGASU.jpg,130,,,,SV9
47066,バンギラス,悪,/assets/images/card_images/large/SV9/047066_P_BANGIRASU.jpg,190,いあつのがんこう,このポケモンがバトル場にいるかぎり、相手は手札からグッズを出して使えない。,,SV9
47067,Nのチョロネコ,悪,/assets/images/card_images/large/SV9/047067_P_NNOCHIXYORONEKO.jpg,70,,,,SV9
47068,Nのゾロア,悪,/assets/images/card_images/large/SV9/047068_P_NNOZOROA.jpg,70,,,,SV9
47069,Nのゾロアークex,悪,/assets/images/card_images/large/SV9/047069_P_NNOZOROAKUEX.jpg,280,とりひき,自分の番に、自分の手札を1枚トラッシュするなら、1回使える。自分の山札を2枚引く。,,SV9
47070,ゴロンダ,悪,/assets/images/card_images/large/SV9/047070_P_GORONDA.jpg,140,,,,SV9
47071,シュバルゴ,鋼,/assets/images/card_images/large/SV9/047071_P_SHIXYUBARUGO.jpg,120,,,,SV9
47072,Nのギアル,鋼,/assets/images/card_images/large/SV9/047072_P_NNOGIARU.jpg,60,,,,SV9
47073,Nのギギアル,鋼,/assets/images/card_images/large/SV9/047073_P_NNOGIGIARU.jpg,90,,,,SV9
47074,Nのギギギアル,鋼,/assets/images/card_images/large/SV9/047074_P_NNOGIGIGIARU.jpg,160,,,,SV9
47075,マギアナ,鋼,/assets/images/card_images/large/SV9/047075_P_MAGIANA.jpg,90,オートヒール,このポケモンがバトル場にいるかぎり、自分の手札からエネルギーをポケモンにつけるたび、そのポケモンのHPを「90」回復する。,,SV9
47076,ホップのアーマーガア,鋼,/assets/images/card_images/large/SV9/047076_P_HOPPUNOAMAGAA.jpg,170,,,,SV9
47077,ホップのザシアンex,鋼,/assets/images/card_images/large/SV9/047077_P_HOPPUNOZASHIANEX.jpg,230,,,,SV9
47078,タツベイ,竜,/assets/images/card_images/large/SV9/047078_P_TATSUBEI.jpg,70,,,,SV9
47079,コモルー,竜,/assets/images/card_images/large/SV9/047079_P_KOMORU.jpg,100,,,,SV9
47080,ボーマンダex,竜,/assets/images/card_images/large/SV9/047080_P_BOMANDAEX.jpg,320,,,,SV9
47081,クリムガン,竜,/assets/images/card_images/large/SV9/047081_P_KURIMUGAN.jpg,120,,,,SV9
47082,Nのレシラム,竜,/assets/images/card_images/large/SV9/047082_P_NNORESHIRAMU.jpg,130,,,,SV9
47083,ホップのカビゴン,無,/assets/images/card_images/large/SV9/047083_P_HOPPUNOKABIGON.jpg,150,ふとっぱら,このポケモンがいるかぎり、自分の「ホップのポケモン」が使うワザの、相手のバトルポケモンへのダメージは「+30」される。この効果は、この特性を持つポケモンが何匹いても、重ならない。,,SV9
47084,オタチ,無,/assets/images/card_images/large/SV9/047084_P_OTACHI.jpg,60,,,,SV9
47085,オオタチ,無,/assets/images/card_images/large/SV9/047085_P_OOTACHI.jpg,120,,,,SV9
47086,ノコッチ,無,/assets/images/card_images/large/SV9/047086_P_NOKOTCHI.jpg,70,,,,SV9
47087,ノココッチex,無,/assets/images/card_images/large/SV9/047087_P_NOKOKOTCHIEX.jpg,270,,,,SV9
47088,オンバット,無,/assets/images/card_images/large/SV9/047088_P_ONBATTO.jpg,60,,,,SV9
47089,オンバーン,無,/assets/images/card_images/large/SV9/047089_P_ONBAN.jpg,110,チューニングエコー,自分の手札と相手の手札が同じ枚数なら、このポケモンが「パニックハウル」を使うためのエネルギーは、すべてなくなる。,,SV9
47090,ネッコアラ,無,/assets/images/card_images/large/SV9/047090_P_NEKKOARA.jpg,100,,,,SV9
47091,ホップのココガラ,無,/assets/images/card_images/large/SV9/047091_P_HOPPUNOKOKOGARA.jpg,60,,,,SV9
47092,ホップのアオガラス,無,/assets/images/card_images/large/SV9/047092_P_HOPPUNOAOGARASU.jpg,90,,,,SV9
47093,ホップのウールー,無,/assets/images/card_images/large/SV9/047093_P_HOPPUNOURU.jpg,70,,,,SV9
47094,ホップのバイウールー,無,/assets/images/card_images/large/SV9/047094_P_HOPPUNOBAIURU.jpg,120,チャレンジホーン,自分の番に、このカードを手札から出して進化させたとき、1回使える。相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。,,SV9
47095,ホップのウッウ,無,/assets/images/card_images/large/SV9/047095_P_HOPPUNOUUU.jpg,110,,,,SV9
47221,マラカッチ,草,/assets/images/card_images/large/SV9/047221_P_MARAKATCHI.jpg,110,さくれつばり,このポケモンが、バトル場で相手のポケモンからワザのダメージを受けてきぜつしたとき、ワザを使ったポケモンにダメカンを6個のせる。,,SV9
47222,フリーザー,水,/assets/images/card_images/large/SV9/047222_P_FURIZA.jpg,110,,,,SV9
47223,ホエルオー,水,/assets/images/card_images/large/SV9/047223_P_HOERUO.jpg,240,,,,SV9
47224,ナンジャモのタイカイデン,雷,/assets/images/card_images/large/SV9/047224_P_NANJIXYAMONOTAIKAIDEN.jpg,120,フラッシュドロー,自分の番に、このポケモンについている「基本エネルギー」を1個トラッシュするなら、1回使える。自分の手札が6枚になるように、山札を引く。,,SV9
47225,リーリエのアブリボン,超,/assets/images/card_images/large/SV9/047225_P_RIRIENOABURIBON.jpg,70,おさそいウインク,自分の番に、このカードを手札から出して進化させたとき、1回使える。相手の手札を見て、その中からたねポケモンを好きなだけ選び、相手のベンチに出す。,,SV9
47226,ウリムー,闘,/assets/images/card_images/large/SV9/047226_P_URIMU.jpg,70,,,,SV9
47227,ルガルガン,闘,/assets/images/card_images/large/SV9/047227_P_RUGARUGAN.jpg,120,とげをまとう,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分のトラッシュから「スパイクエネルギー」を2枚まで選び、このポケモンにつける。,,SV9
47228,Nのゾロア,悪,/assets/images/card_images/large/SV9/047228_P_NNOZOROA.jpg,70,,,,SV9
47229,Nのレシラム,竜,/assets/images/card_images/large/SV9/047229_P_NNORESHIRAMU.jpg,130,,,,SV9
47230,オオタチ,無,/assets/images/card_images/large/SV9/047230_P_OOTACHI.jpg,120,,,,SV9
47231,オンバット,無,/assets/images/card_images/large/SV9/047231_P_ONBATTO.jpg,60,,,,SV9
47232,ホップのウールー,無,/assets/images/card_images/large/SV9/047232_P_HOPPUNOURU.jpg,70,,,,SV9
47233,ボルケニオンex,炎,/assets/images/card_images/large/SV9/047233_P_BORUKENIONEX.jpg,220,やけつくじょうき,このポケモンがバトル場にいるなら、自分の番に1回使える。相手のバトルポケモンをやけどにする。,,SV9
47234,ナンジャモのハラバリーex,雷,/assets/images/card_images/large/SV9/047234_P_NANJIXYAMONOHARABARIEX.jpg,280,エレキストリーマー,自分の番に何回でも使える。自分の手札から「基本エネルギー」を1枚選び、自分の「ナンジャモのポケモン」につける。,,SV9
47235,リーリエのピッピex,超,/assets/images/card_images/large/SV9/047235_P_RIRIENOPIPPIEX.jpg,190,フェアリーゾーン,このポケモンがいるかぎり、相手の場のポケモン全員の弱点は、すべてタイプになる。［弱点は「×2」で計算する。］,,SV9
47236,マンムーex,闘,/assets/images/card_images/large/SV9/047236_P_MANMUEX.jpg,340,マンモスキャリー,自分の番に1回使える。自分の山札からポケモンを1枚選び、相手に見せて、手札に加える。そして山札を切る。,,SV9
47237,Nのゾロアークex,悪,/assets/images/card_images/large/SV9/047237_P_NNOZOROAKUEX.jpg,280,とりひき,自分の番に、自分の手札を1枚トラッシュするなら、1回使える。自分の山札を2枚引く。,,SV9
47238,ホップのザシアンex,鋼,/assets/images/card_images/large/SV9/047238_P_HOPPUNOZASHIANEX.jpg,230,,,,SV9
47239,ボーマンダex,竜,/assets/images/card_images/large/SV9/047239_P_BOMANDAEX.jpg,320,,,,SV9
47240,ノココッチex,無,/assets/images/card_images/large/SV9/047240_P_NOKOKOTCHIEX.jpg,270,,,,SV9
47244,ボルケニオンex,炎,/assets/images/card_images/large/SV9/047244_P_BORUKENIONEX.jpg,220,やけつくじょうき,このポケモンがバトル場にいるなら、自分の番に1回使える。相手のバトルポケモンをやけどにする。,,SV9
47245,ナンジャモのハラバリーex,雷,/assets/images/card_images/large/SV9/047245_P_NANJIXYAMONOHARABARIEX.jpg,280,エレキストリーマー,自分の番に何回でも使える。自分の手札から「基本エネルギー」を1枚選び、自分の「ナンジャモのポケモン」につける。,,SV9
47246,リーリエのピッピex,超,/assets/images/card_images/large/SV9/047246_P_RIRIENOPIPPIEX.jpg,190,フェアリーゾーン,このポケモンがいるかぎり、相手の場のポケモン全員の弱点は、すべてタイプになる。［弱点は「×2」で計算する。］,,SV9
47247,Nのゾロアークex,悪,/assets/images/card_images/large/SV9/047247_P_NNOZOROAKUEX.jpg,280,とりひき,自分の番に、自分の手札を1枚トラッシュするなら、1回使える。自分の山札を2枚引く。,,SV9
